#IMF [M/H]    Age      U      B      V      R      I      J      H      K     U-V    B-V    V-R    V-I    V-J    V-H     V-K      (M/L)U   (M/L)B   (M/L)V   (M/L)R   (M/L)I   (M/L)J   (M/L)H   (M/L)K  F439W  F555W  F675W F814W 439-555 555-675 555-814
#=========================================================================================================================================================================================================================================================
1.30 -0.3960  0.0794   3.733  4.095  4.020  3.889  3.717  3.377  2.985  2.894 -0.287  0.075  0.131  0.303  0.643  1.035  1.126    0.053    0.086    0.142    0.175    0.199    0.218    0.204    0.198  4.103  4.022  3.860  3.732  0.081  0.163  0.290
1.30 -0.3960  0.0891   3.824  4.169  4.086  3.953  3.779  3.442  3.056  2.966 -0.262  0.083  0.133  0.307  0.644  1.030  1.120    0.058    0.092    0.150    0.185    0.210    0.230    0.217    0.211  4.178  4.089  3.923  3.794  0.089  0.166  0.295
1.30 -0.3960  0.1000   3.916  4.245  4.154  4.018  3.840  3.503  3.120  3.032 -0.238  0.091  0.136  0.314  0.651  1.034  1.122    0.062    0.098    0.159    0.196    0.221    0.243    0.229    0.223  4.254  4.158  3.988  3.856  0.097  0.170  0.301
1.30 -0.3960  0.1122   4.009  4.320  4.225  4.090  3.911  3.575  3.196  3.106 -0.216  0.095  0.135  0.314  0.650  1.029  1.118    0.068    0.104    0.169    0.208    0.235    0.258    0.244    0.237  4.328  4.229  4.060  3.928  0.100  0.168  0.301
1.30 -0.3960  0.1259   4.122  4.395  4.240  4.020  3.560  2.661  1.911  1.666 -0.118  0.155  0.220  0.679  1.579  2.329  2.573    0.075    0.111    0.171    0.195    0.170    0.111    0.075    0.063  4.406  4.246  3.977  3.590  0.160  0.269  0.657
1.30 -0.3960  0.1413   4.225  4.477  4.319  4.105  3.670  2.788  2.052  1.809 -0.093  0.158  0.213  0.649  1.530  2.266  2.510    0.082    0.119    0.183    0.210    0.187    0.124    0.085    0.071  4.488  4.325  4.064  3.698  0.162  0.262  0.628
1.30 -0.3960  0.1585   4.334  4.564  4.402  4.194  3.786  2.936  2.222  1.982 -0.068  0.162  0.208  0.615  1.465  2.180  2.420    0.090    0.129    0.197    0.226    0.207    0.142    0.098    0.083  4.575  4.409  4.152  3.814  0.166  0.256  0.595
1.30 -0.3960  0.1778   4.447  4.654  4.483  4.275  3.884  3.053  2.353  2.117 -0.036  0.171  0.208  0.599  1.430  2.129  2.366    0.100    0.139    0.211    0.243    0.226    0.157    0.111    0.094  4.665  4.490  4.234  3.911  0.175  0.256  0.580
1.30 -0.3960  0.1995   4.572  4.758  4.580  4.374  4.004  3.208  2.531  2.302 -0.008  0.178  0.206  0.576  1.372  2.049  2.278    0.111    0.153    0.230    0.265    0.251    0.180    0.130    0.111  4.770  4.588  4.332  4.030  0.182  0.256  0.558
1.30 -0.3960  0.2239   4.693  4.851  4.664  4.455  4.091  3.308  2.641  2.415  0.029  0.187  0.209  0.572  1.356  2.022  2.248    0.124    0.166    0.247    0.284    0.271    0.197    0.143    0.122  4.863  4.672  4.412  4.117  0.191  0.259  0.554
1.30 -0.3960  0.2512   4.829  4.954  4.760  4.550  4.194  3.424  2.767  2.544  0.070  0.194  0.210  0.566  1.336  1.993  2.216    0.140    0.181    0.269    0.309    0.296    0.218    0.160    0.137  4.966  4.768  4.507  4.219  0.198  0.261  0.549
1.30 -0.3960  0.2818   4.969  5.061  4.860  4.651  4.308  3.570  2.931  2.718  0.109  0.201  0.209  0.552  1.290  1.929  2.142    0.158    0.199    0.294    0.338    0.328    0.249    0.185    0.160  5.073  4.869  4.609  4.334  0.204  0.260  0.535
1.30 -0.3960  0.3162   5.110  5.162  4.944  4.728  4.375  3.631  2.990  2.778  0.165  0.218  0.217  0.569  1.314  1.955  2.166    0.179    0.218    0.316    0.361    0.347    0.262    0.195    0.169  5.174  4.953  4.684  4.401  0.221  0.270  0.552
1.30 -0.3960  0.3548   5.251  5.262  5.031  4.808  4.446  3.696  3.051  2.841  0.220  0.232  0.223  0.585  1.335  1.979  2.190    0.203    0.238    0.341    0.387    0.369    0.277    0.205    0.178  5.275  5.040  4.763  4.473  0.235  0.277  0.567
1.30 -0.3960  0.3981   5.393  5.367  5.118  4.888  4.516  3.761  3.115  2.905  0.275  0.249  0.230  0.602  1.357  2.003  2.213    0.231    0.261    0.368    0.415    0.392    0.293    0.217    0.188  5.380  5.128  4.842  4.544  0.252  0.286  0.584
1.30 -0.3960  0.4467   5.527  5.470  5.201  4.962  4.585  3.836  3.194  2.989  0.326  0.269  0.239  0.616  1.365  2.007  2.212    0.260    0.286    0.395    0.443    0.416    0.312    0.232    0.203  5.484  5.212  4.914  4.614  0.272  0.297  0.598
1.30 -0.3960  0.5012   5.662  5.581  5.288  5.037  4.650  3.896  3.254  3.050  0.374  0.293  0.251  0.639  1.392  2.034  2.239    0.294    0.316    0.427    0.472    0.440    0.329    0.244    0.213  5.596  5.300  4.987  4.679  0.295  0.313  0.621
1.30 -0.3960  0.5623   5.789  5.694  5.380  5.117  4.719  3.960  3.317  3.113  0.410  0.314  0.262  0.660  1.419  2.062  2.267    0.329    0.349    0.462    0.506    0.467    0.347    0.258    0.225  5.709  5.393  5.065  4.750  0.316  0.328  0.643
1.30 -0.3960  0.6310   5.920  5.811  5.469  5.190  4.781  4.016  3.373  3.169  0.452  0.342  0.278  0.688  1.452  2.096  2.300    0.369    0.387    0.500    0.539    0.493    0.364    0.270    0.236  5.827  5.483  5.135  4.812  0.344  0.348  0.671
1.30 -0.3960  0.7079   6.047  5.924  5.549  5.251  4.825  4.045  3.396  3.191  0.498  0.376  0.298  0.723  1.503  2.153  2.358    0.413    0.427    0.536    0.568    0.511    0.372    0.275    0.240  5.942  5.564  5.193  4.858  0.378  0.372  0.706
1.30 -0.3960  0.7943   6.180  6.055  5.649  5.338  4.905  4.118  3.469  3.264  0.531  0.406  0.311  0.744  1.531  2.180  2.385    0.465    0.480    0.585    0.612    0.547    0.396    0.293    0.256  6.075  5.666  5.277  4.939  0.409  0.388  0.727
1.30 -0.3960  0.8913   6.318  6.191  5.749  5.422  4.977  4.187  3.538  3.334  0.568  0.441  0.328  0.773  1.563  2.211  2.415    0.526    0.541    0.639    0.659    0.582    0.421    0.311    0.271  6.212  5.767  5.358  5.011  0.445  0.409  0.756
1.30 -0.3960  1.0000   6.443  6.314  5.840  5.496  5.043  4.252  3.605  3.403  0.603  0.474  0.344  0.797  1.588  2.235  2.437    0.587    0.603    0.691    0.702    0.616    0.445    0.329    0.288  6.337  5.859  5.430  5.079  0.478  0.429  0.780
1.30 -0.3960  1.1220   6.576  6.443  5.930  5.566  5.101  4.312  3.666  3.466  0.646  0.513  0.365  0.829  1.618  2.265  2.464    0.661    0.677    0.748    0.745    0.647    0.468    0.346    0.304  6.470  5.951  5.496  5.138  0.519  0.455  0.813
1.30 -0.3960  1.2589   6.681  6.510  5.917  5.506  5.013  4.210  3.556  3.362  0.764  0.594  0.411  0.904  1.707  2.361  2.554    0.724    0.716    0.735    0.702    0.594    0.424    0.311    0.275  6.544  5.938  5.429  5.051  0.606  0.510  0.887
1.30 -0.3960  1.4125   6.920  6.754  6.141  5.711  5.194  4.347  3.668  3.462  0.779  0.613  0.430  0.948  1.794  2.474  2.679    0.894    0.888    0.895    0.839    0.694    0.476    0.341    0.298  6.790  6.164  5.632  5.233  0.626  0.532  0.931
1.30 -0.3960  1.5849   7.083  6.920  6.286  5.845  5.334  4.503  3.833  3.634  0.797  0.635  0.440  0.952  1.783  2.453  2.652    1.032    1.029    1.016    0.944    0.785    0.546    0.395    0.347  6.958  6.309  5.765  5.374  0.649  0.544  0.935
1.30 -0.3960  1.7783   7.252  7.073  6.412  5.958  5.441  4.608  3.939  3.742  0.840  0.661  0.453  0.971  1.803  2.473  2.670    1.200    1.179    1.136    1.043    0.862    0.599    0.434    0.382  7.113  6.435  5.876  5.481  0.678  0.559  0.954
1.30 -0.3960  1.9953   7.409  7.213  6.524  6.060  5.540  4.717  4.053  3.862  0.885  0.689  0.465  0.984  1.807  2.471  2.663    1.382    1.336    1.255    1.141    0.941    0.660    0.480    0.425  7.256  6.549  5.976  5.582  0.707  0.572  0.967
1.30 -0.3960  2.2387   7.562  7.348  6.631  6.155  5.629  4.809  4.147  3.959  0.931  0.716  0.477  1.002  1.822  2.484  2.672    1.585    1.505    1.379    1.240    1.018    0.715    0.521    0.462  7.394  6.656  6.070  5.672  0.738  0.586  0.984
1.30 -0.3960  2.5119   7.712  7.473  6.730  6.242  5.713  4.893  4.232  4.046  0.982  0.744  0.487  1.016  1.837  2.497  2.683    1.811    1.683    1.503    1.338    1.095    0.769    0.562    0.499  7.523  6.755  6.156  5.757  0.768  0.599  0.998
1.30 -0.3960  2.8184   7.851  7.598  6.836  6.339  5.800  4.971  4.306  4.118  1.016  0.762  0.496  1.036  1.864  2.530  2.718    2.050    1.879    1.650    1.457    1.180    0.823    0.598    0.531  7.649  6.861  6.252  5.844  0.788  0.609  1.017
1.30 -0.3960  3.1623   7.992  7.726  6.951  6.452  5.920  5.108  4.454  4.272  1.042  0.775  0.499  1.031  1.843  2.497  2.679    2.326    2.108    1.828    1.610    1.313    0.930    0.683    0.609  7.779  6.977  6.364  5.965  0.802  0.613  1.012
1.30 -0.3960  3.5481   8.097  7.822  7.035  6.532  5.997  5.189  4.537  4.357  1.062  0.786  0.504  1.038  1.847  2.499  2.678    2.553    2.293    1.969    1.726    1.405    0.998    0.734    0.657  7.876  7.062  6.444  6.043  0.814  0.618  1.019
1.30 -0.3960  3.9811   8.206  7.921  7.125  6.616  6.078  5.269  4.616  4.438  1.081  0.796  0.509  1.048  1.856  2.509  2.687    2.812    2.504    2.131    1.859    1.508    1.071    0.787    0.705  7.977  7.152  6.528  6.124  0.825  0.624  1.028
1.30 -0.3960  4.4668   8.326  8.031  7.223  6.708  6.165  5.355  4.701  4.524  1.103  0.808  0.515  1.059  1.868  2.522  2.699    3.128    2.760    2.324    2.016    1.628    1.155    0.848    0.760  8.088  7.251  6.620  6.213  0.838  0.631  1.038
1.30 -0.3960  5.0119   8.465  8.164  7.349  6.830  6.284  5.478  4.826  4.650  1.116  0.816  0.519  1.064  1.871  2.523  2.699    3.542    3.109    2.598    2.247    1.810    1.288    0.948    0.850  8.223  7.377  6.742  6.334  0.846  0.635  1.043
1.30 -0.3960  5.6234   8.592  8.277  7.447  6.922  6.370  5.561  4.907  4.732  1.145  0.830  0.525  1.077  1.886  2.540  2.715    3.969    3.436    2.835    2.437    1.952    1.386    1.018    0.914  8.337  7.476  6.833  6.421  0.862  0.642  1.055
1.30 -0.3960  6.3096   8.740  8.413  7.572  7.041  6.486  5.679  5.026  4.853  1.167  0.841  0.531  1.087  1.894  2.547  2.720    4.531    3.883    3.172    2.712    2.165    1.540    1.132    1.018  8.475  7.602  6.953  6.538  0.874  0.649  1.064
1.30 -0.3960  7.0795   8.876  8.542  7.696  7.163  6.606  5.801  5.150  4.979  1.180  0.846  0.533  1.090  1.895  2.545  2.717    5.121    4.360    3.544    3.024    2.412    1.718    1.266    1.140  8.605  7.726  7.075  6.659  0.879  0.651  1.066
1.30 -0.3960  7.9433   9.001  8.652  7.794  7.254  6.693  5.886  5.235  5.065  1.207  0.858  0.540  1.101  1.908  2.559  2.729    5.731    4.811    3.868    3.281    2.605    1.853    1.365    1.231  8.717  7.825  7.167  6.748  0.892  0.658  1.077
1.30 -0.3960  8.9125   9.115  8.750  7.880  7.335  6.769  5.961  5.311  5.141  1.235  0.869  0.545  1.111  1.919  2.570  2.740    6.348    5.249    4.176    3.524    2.787    1.980    1.459    1.316  8.816  7.912  7.248  6.826  0.905  0.664  1.086
1.30 -0.3960 10.0000   9.230  8.845  7.962  7.409  6.836  6.024  5.370  5.200  1.268  0.883  0.553  1.126  1.938  2.592  2.762    7.036    5.714    4.488    3.762    2.956    2.091    1.536    1.386  8.914  7.994  7.322  6.894  0.920  0.672  1.100
1.30 -0.3960 11.2202   9.329  8.930  8.038  7.481  6.903  6.087  5.431  5.261  1.291  0.892  0.557  1.135  1.952  2.607  2.777    7.685    6.163    4.801    4.006    3.135    2.210    1.621    1.462  9.001  8.071  7.393  6.962  0.930  0.677  1.108
1.30 -0.3960 12.5893   9.443  9.030  8.129  7.566  6.984  6.162  5.505  5.333  1.314  0.901  0.563  1.145  1.967  2.624  2.796    8.513    6.741    5.207    4.324    3.367    2.362    1.730    1.558  9.102  8.162  7.479  7.045  0.940  0.683  1.118
1.30 -0.3960 14.1254   9.574  9.141  8.226  7.655  7.064  6.231  5.570  5.395  1.348  0.915  0.571  1.162  1.994  2.656  2.830    9.584    7.444    5.677    4.681    3.616    2.512    1.832    1.646  9.215  8.260  7.568  7.126  0.955  0.691  1.134
1.30 -0.3960 15.8489   9.719  9.270  8.343  7.765  7.167  6.335  5.674  5.501  1.376  0.927  0.578  1.175  2.008  2.669  2.842   10.921    8.361    6.308    5.166    3.968    2.758    2.011    1.810  9.346  8.378  7.679  7.233  0.968  0.699  1.146
1.30 -0.3960 17.7828   9.806  9.345  8.408  7.825  7.222  6.390  5.728  5.557  1.398  0.937  0.583  1.186  2.018  2.680  2.851   11.804    8.935    6.679    5.442    4.161    2.891    2.108    1.899  9.424  8.444  7.739  7.289  0.979  0.705  1.155
1.30  0.0000  0.0631   3.662  4.043  3.945  3.787  3.568  3.136  2.668  2.544 -0.283  0.098  0.158  0.377  0.810  1.277  1.401    0.050    0.083    0.134    0.161    0.175    0.176    0.154    0.145  4.054  3.948  3.753  3.587  0.105  0.196  0.361
1.30  0.0000  0.0708   3.776  4.135  4.026  3.862  3.638  3.200  2.735  2.613 -0.250  0.109  0.164  0.388  0.827  1.291  1.413    0.056    0.090    0.143    0.172    0.186    0.186    0.163    0.153  4.147  4.029  3.827  3.658  0.117  0.203  0.372
1.30  0.0000  0.0794   3.887  4.230  4.122  3.961  3.740  3.304  2.844  2.724 -0.235  0.108  0.161  0.382  0.818  1.278  1.398    0.061    0.097    0.156    0.188    0.204    0.204    0.179    0.169  4.241  4.125  3.926  3.759  0.116  0.199  0.367
1.30  0.0000  0.0891   3.984  4.302  4.188  4.026  3.803  3.367  2.913  2.795 -0.204  0.115  0.162  0.385  0.821  1.275  1.393    0.067    0.104    0.165    0.198    0.215    0.215    0.190    0.180  4.314  4.191  3.990  3.822  0.122  0.201  0.369
1.30  0.0000  0.1000   4.091  4.381  4.260  4.095  3.870  3.430  2.978  2.861 -0.168  0.122  0.165  0.389  0.830  1.281  1.398    0.073    0.111    0.176    0.210    0.228    0.227    0.201    0.190  4.393  4.263  4.059  3.890  0.129  0.204  0.374
1.30  0.0000  0.1122   4.197  4.460  4.334  4.167  3.942  3.497  3.045  2.928 -0.137  0.126  0.167  0.392  0.837  1.289  1.406    0.081    0.119    0.187    0.224    0.243    0.241    0.213    0.202  4.471  4.338  4.131  3.961  0.133  0.207  0.376
1.30  0.0000  0.1259   4.302  4.541  4.410  4.228  3.899  2.955  2.247  1.985 -0.107  0.131  0.181  0.510  1.454  2.163  2.424    0.088    0.128    0.200    0.236    0.232    0.146    0.102    0.084  4.552  4.414  4.191  3.918  0.138  0.223  0.496
1.30  0.0000  0.1413   4.411  4.621  4.489  4.310  3.993  3.076  2.379  2.121 -0.078  0.133  0.179  0.496  1.413  2.109  2.368    0.097    0.137    0.214    0.254    0.252    0.162    0.114    0.095  4.632  4.493  4.273  4.011  0.139  0.220  0.482
1.30  0.0000  0.1585   4.527  4.711  4.580  4.405  4.103  3.231  2.551  2.299 -0.052  0.132  0.174  0.477  1.349  2.029  2.280    0.108    0.148    0.232    0.276    0.278    0.186    0.134    0.112  4.722  4.584  4.369  4.121  0.138  0.215  0.463
1.30  0.0000  0.1778   4.655  4.802  4.663  4.490  4.199  3.365  2.702  2.457 -0.009  0.139  0.173  0.464  1.299  1.961  2.207    0.121    0.160    0.250    0.297    0.303    0.210    0.153    0.129  4.812  4.668  4.453  4.218  0.144  0.215  0.451
1.30  0.0000  0.1995   4.775  4.888  4.742  4.571  4.294  3.509  2.871  2.635  0.032  0.146  0.172  0.448  1.234  1.871  2.108    0.134    0.173    0.268    0.319    0.329    0.239    0.178    0.151  4.899  4.748  4.534  4.312  0.151  0.213  0.435
1.30  0.0000  0.2239   4.917  4.992  4.832  4.659  4.389  3.648  3.035  2.810  0.085  0.160  0.174  0.443  1.184  1.798  2.022    0.153    0.189    0.290    0.344    0.358    0.270    0.206    0.177  5.002  4.838  4.622  4.408  0.164  0.216  0.430
1.30  0.0000  0.2512   5.066  5.094  4.918  4.740  4.464  3.711  3.096  2.870  0.148  0.176  0.178  0.453  1.206  1.822  2.047    0.175    0.207    0.312    0.370    0.382    0.286    0.217    0.186  5.104  4.924  4.702  4.484  0.180  0.222  0.440
1.30  0.0000  0.2818   5.209  5.193  5.004  4.823  4.544  3.779  3.161  2.934  0.205  0.189  0.180  0.460  1.225  1.843  2.070    0.198    0.226    0.337    0.398    0.409    0.303    0.230    0.197  5.203  5.010  4.785  4.563  0.193  0.226  0.447
1.30  0.0000  0.3162   5.350  5.298  5.090  4.904  4.621  3.859  3.248  3.023  0.260  0.208  0.186  0.469  1.231  1.842  2.067    0.225    0.248    0.363    0.427    0.438    0.325    0.248    0.213  5.308  5.097  4.864  4.641  0.211  0.233  0.456
1.30  0.0000  0.3548   5.483  5.402  5.171  4.973  4.680  3.911  3.300  3.077  0.312  0.231  0.198  0.491  1.260  1.870  2.094    0.253    0.272    0.390    0.453    0.460    0.339    0.259    0.223  5.413  5.179  4.931  4.701  0.234  0.248  0.478
1.30  0.0000  0.3981   5.612  5.516  5.261  5.051  4.746  3.969  3.359  3.136  0.351  0.255  0.210  0.515  1.292  1.902  2.125    0.284    0.301    0.422    0.485    0.487    0.357    0.273    0.234  5.528  5.271  5.007  4.768  0.257  0.264  0.503
1.30  0.0000  0.4467   5.745  5.633  5.349  5.123  4.804  4.021  3.410  3.188  0.396  0.284  0.227  0.545  1.328  1.939  2.161    0.320    0.334    0.456    0.516    0.512    0.372    0.285    0.245  5.646  5.361  5.075  4.828  0.285  0.285  0.533
1.30  0.0000  0.5012   5.885  5.760  5.442  5.197  4.864  4.069  3.456  3.235  0.443  0.318  0.245  0.577  1.373  1.986  2.206    0.363    0.374    0.494    0.550    0.540    0.388    0.296    0.255  5.774  5.454  5.146  4.889  0.320  0.308  0.565
1.30  0.0000  0.5623   6.026  5.899  5.544  5.282  4.939  4.129  3.514  3.294  0.481  0.355  0.262  0.605  1.415  2.030  2.250    0.411    0.424    0.541    0.593    0.576    0.408    0.311    0.268  5.915  5.558  5.228  4.965  0.357  0.330  0.593
1.30  0.0000  0.6310   6.171  6.044  5.654  5.374  5.013  4.197  3.579  3.359  0.517  0.390  0.280  0.641  1.456  2.074  2.294    0.468    0.482    0.596    0.643    0.614    0.433    0.329    0.283  6.061  5.669  5.317  5.040  0.392  0.352  0.628
1.30  0.0000  0.7079   6.316  6.191  5.761  5.459  5.084  4.260  3.639  3.419  0.555  0.431  0.301  0.677  1.501  2.122  2.342    0.533    0.550    0.656    0.693    0.653    0.457    0.346    0.298  6.211  5.777  5.398  5.112  0.434  0.379  0.665
1.30  0.0000  0.7943   6.468  6.337  5.863  5.539  5.147  4.315  3.691  3.472  0.604  0.474  0.324  0.717  1.548  2.172  2.392    0.611    0.627    0.718    0.743    0.689    0.479    0.362    0.312  6.360  5.882  5.475  5.177  0.479  0.407  0.705
1.30  0.0000  0.8913   6.619  6.482  5.969  5.624  5.215  4.370  3.740  3.520  0.651  0.513  0.345  0.753  1.599  2.229  2.449    0.699    0.713    0.787    0.800    0.731    0.502    0.377    0.324  6.508  5.988  5.556  5.247  0.520  0.432  0.741
1.30  0.0000  1.0000   6.767  6.630  6.077  5.712  5.290  4.438  3.805  3.586  0.690  0.553  0.365  0.787  1.639  2.271  2.490    0.798    0.814    0.867    0.864    0.780    0.532    0.398    0.344  6.659  6.097  5.640  5.323  0.562  0.457  0.774
1.30  0.0000  1.1220   6.924  6.765  6.173  5.789  5.355  4.497  3.864  3.647  0.751  0.593  0.384  0.817  1.675  2.309  2.526    0.918    0.918    0.942    0.923    0.824    0.559    0.419    0.362  6.798  6.194  5.714  5.389  0.604  0.479  0.805
1.30  0.0000  1.2589   7.082  6.878  6.225  5.808  5.347  4.476  3.834  3.621  0.857  0.653  0.417  0.878  1.749  2.392  2.605    1.058    1.015    0.985    0.935    0.815    0.546    0.406    0.352  6.917  6.247  5.728  5.383  0.669  0.519  0.865
1.30  0.0000  1.4125   7.230  6.977  6.264  5.814  5.328  4.449  3.798  3.590  0.966  0.713  0.450  0.936  1.815  2.466  2.673    1.207    1.107    1.017    0.936    0.797    0.531    0.391    0.341  7.022  6.287  5.729  5.364  0.736  0.557  0.922
1.30  0.0000  1.5849   7.451  7.214  6.494  6.030  5.516  4.587  3.905  3.683  0.957  0.720  0.464  0.978  1.907  2.589  2.811    1.466    1.364    1.246    1.133    0.940    0.597    0.428    0.368  7.260  6.517  5.945  5.554  0.742  0.572  0.963
1.30  0.0000  1.7783   7.629  7.375  6.634  6.159  5.632  4.714  4.033  3.814  0.995  0.740  0.476  1.002  1.920  2.602  2.820    1.719    1.575    1.411    1.269    1.041    0.668    0.479    0.413  7.423  6.658  6.072  5.672  0.765  0.586  0.987
1.30  0.0000  1.9953   7.807  7.532  6.772  6.287  5.755  4.861  4.186  3.976  1.034  0.760  0.485  1.017  1.912  2.586  2.797    2.016    1.813    1.595    1.423    1.160    0.762    0.549    0.477  7.583  6.797  6.200  5.796  0.786  0.597  1.001
1.30  0.0000  2.2387   7.973  7.672  6.887  6.389  5.846  4.958  4.284  4.078  1.087  0.785  0.497  1.041  1.929  2.603  2.809    2.341    2.054    1.765    1.557    1.257    0.830    0.598    0.522  7.726  6.911  6.300  5.888  0.814  0.611  1.023
1.30  0.0000  2.5119   8.137  7.808  6.999  6.492  5.943  5.056  4.384  4.180  1.138  0.808  0.507  1.057  1.943  2.616  2.819    2.711    2.318    1.950    1.705    1.369    0.904    0.653    0.571  7.865  7.024  6.402  5.986  0.840  0.622  1.039
1.30  0.0000  2.8184   8.307  7.950  7.119  6.600  6.038  5.139  4.461  4.256  1.188  0.831  0.519  1.081  1.980  2.658  2.863    3.158    2.630    2.168    1.875    1.487    0.972    0.698    0.610  8.009  7.144  6.509  6.082  0.865  0.635  1.062
1.30  0.0000  3.1623   8.480  8.088  7.232  6.701  6.126  5.218  4.535  4.331  1.248  0.856  0.531  1.106  2.014  2.697  2.901    3.691    2.977    2.398    2.051    1.608    1.042    0.745    0.651  8.151  7.258  6.609  6.171  0.893  0.649  1.087
1.30  0.0000  3.5481   8.631  8.210  7.337  6.798  6.214  5.295  4.609  4.403  1.293  0.873  0.539  1.123  2.042  2.729  2.934    4.224    3.320    2.633    2.235    1.738    1.115    0.795    0.694  8.276  7.363  6.705  6.260  0.912  0.659  1.103
1.30  0.0000  3.9811   8.782  8.337  7.450  6.904  6.317  5.404  4.721  4.519  1.332  0.888  0.546  1.133  2.046  2.729  2.931    4.838    3.718    2.909    2.454    1.903    1.228    0.878    0.769  8.405  7.476  6.810  6.364  0.929  0.666  1.112
1.30  0.0000  4.4668   8.846  8.409  7.526  6.981  6.393  5.481  4.798  4.596  1.321  0.884  0.545  1.133  2.045  2.727  2.929    5.112    3.957    3.107    2.622    2.032    1.312    0.939    0.822  8.477  7.552  6.887  6.440  0.924  0.665  1.112
1.30  0.0000  5.0119   8.976  8.516  7.618  7.066  6.470  5.548  4.862  4.658  1.358  0.898  0.552  1.148  2.070  2.756  2.959    5.740    4.351    3.371    2.827    2.175    1.391    0.992    0.868  8.585  7.645  6.972  6.519  0.940  0.673  1.126
1.30  0.0000  5.6234   9.122  8.638  7.725  7.165  6.563  5.633  4.945  4.740  1.397  0.913  0.560  1.162  2.092  2.781  2.985    6.551    4.856    3.710    3.089    2.362    1.500    1.067    0.933  8.710  7.753  7.071  6.612  0.958  0.682  1.141
1.30  0.0000  6.3096   9.274  8.792  7.881  7.322  6.723  5.808  5.128  4.928  1.394  0.911  0.559  1.157  2.073  2.752  2.952    7.512    5.574    4.268    3.557    2.730    1.756    1.260    1.106  8.863  7.908  7.228  6.774  0.955  0.680  1.134
1.30  0.0000  7.0795   9.400  8.899  7.977  7.412  6.807  5.883  5.202  5.000  1.423  0.922  0.565  1.170  2.093  2.775  2.976    8.405    6.136    4.649    3.853    2.939    1.878    1.344    1.178  8.972  8.005  7.318  6.859  0.967  0.687  1.146
1.30  0.0000  7.9433   9.534  9.013  8.078  7.507  6.895  5.965  5.282  5.079  1.456  0.935  0.571  1.183  2.113  2.797  2.999    9.489    6.795    5.090    4.194    3.180    2.019    1.443    1.264  9.088  8.107  7.413  6.949  0.981  0.694  1.158
1.30  0.0000  8.9125   9.667  9.121  8.171  7.592  6.972  6.031  5.344  5.140  1.496  0.949  0.579  1.199  2.140  2.827  3.031   10.696    7.487    5.532    4.524    3.404    2.140    1.525    1.333  9.199  8.201  7.498  7.027  0.998  0.703  1.174
1.30  0.0000 10.0000   9.795  9.227  8.266  7.679  7.053  6.108  5.420  5.216  1.530  0.962  0.586  1.213  2.158  2.846  3.050   12.004    8.237    6.017    4.890    3.657    2.290    1.631    1.425  9.308  8.295  7.585  7.109  1.012  0.711  1.186
1.30  0.0000 11.2202   9.930  9.335  8.359  7.765  7.130  6.173  5.482  5.276  1.571  0.976  0.594  1.228  2.185  2.877  3.083   13.549    9.071    6.539    5.276    3.917    2.426    1.722    1.502  9.418  8.389  7.670  7.188  1.029  0.719  1.201
1.30  0.0000 12.5893  10.069  9.446  8.454  7.852  7.210  6.250  5.559  5.353  1.615  0.992  0.602  1.244  2.204  2.896  3.101   15.368   10.021    7.121    5.704    4.204    2.598    1.843    1.609  9.532  8.485  7.757  7.269  1.047  0.728  1.216
1.30  0.0000 14.1254  10.205  9.550  8.542  7.932  7.281  6.309  5.614  5.406  1.662  1.008  0.611  1.262  2.233  2.929  3.136   17.365   11.003    7.704    6.122    4.475    2.735    1.934    1.685  9.639  8.574  7.837  7.341  1.065  0.737  1.233
1.30  0.0000 15.8489  10.332  9.653  8.633  8.016  7.357  6.377  5.680  5.471  1.699  1.020  0.617  1.276  2.256  2.953  3.162   19.480   12.067    8.355    6.597    4.790    2.904    2.050    1.784  9.744  8.665  7.921  7.420  1.079  0.745  1.246
1.30  0.0000 17.7828  10.469  9.763  8.729  8.104  7.438  6.450  5.751  5.541  1.740  1.033  0.625  1.291  2.280  2.979  3.188   22.039   13.313    9.106    7.141    5.147    3.098    2.183    1.898  9.857  8.762  8.010  7.502  1.094  0.753  1.260
1.30  0.2223  0.0631   3.809  4.194  4.111  3.920  3.626  3.060  2.475  2.313 -0.302  0.083  0.191  0.485  1.051  1.635  1.797    0.057    0.095    0.155    0.182    0.184    0.164    0.128    0.116  4.206  4.112  3.881  3.648  0.094  0.231  0.464
1.30  0.2223  0.0708   3.904  4.264  4.179  3.998  3.718  3.166  2.598  2.439 -0.275  0.085  0.181  0.461  1.013  1.580  1.739    0.062    0.100    0.165    0.194    0.200    0.180    0.143    0.130  4.275  4.180  3.960  3.739  0.095  0.220  0.441
1.30  0.2223  0.0794   4.005  4.334  4.244  4.068  3.798  3.263  2.711  2.556 -0.239  0.090  0.176  0.446  0.981  1.533  1.688    0.068    0.107    0.174    0.207    0.215    0.196    0.158    0.145  4.345  4.246  4.031  3.819  0.099  0.215  0.427
1.30  0.2223  0.0891   4.098  4.398  4.302  4.129  3.868  3.346  2.809  2.658 -0.204  0.096  0.174  0.434  0.957  1.494  1.645    0.074    0.113    0.183    0.218    0.228    0.211    0.173    0.158  4.409  4.304  4.092  3.888  0.105  0.212  0.416
