cc,label,model_domain,model_version,model_fullname
RXHCC96,Myelodysplastic Syndromes and Myelofibrosis,RxHCC,R05,R05X76L1
RXHCC97,Immune Disorders,RxHCC,R05,R05X76L1
RXHCC98,Aplastic Anemia and Other Significant Blood Disorders,RxHCC,R05,R05X76L1
RXHCC1,HIV/AIDS,RxHCC,R08,R08X84L1
RXHCC100,Immune Thrombocytopenic Purpura,RxHCC,R08,R08X84L1
RXHCC111,Alzheimers Disease,RxHCC,R08,R08X84L1
RXHCC112,"Dementia, Except Alzheimers Disease",RxHCC,R08,R08X84L1
RXHCC130,Schizophrenia and Other Psychosis,RxHCC,R08,R08X84L1
RXHCC131,Bipolar Disorders,RxHCC,R08,R08X84L1
RXHCC132,Depression,RxHCC,R08,R08X84L1
RXHCC133,Anxiety and Other Psychiatric Disorders,RxHCC,R08,R08X84L1
RXHCC146,Profound or Severe Intellectual Disability/Developmental Disorder,RxHCC,R08,R08X84L1
RXHCC147,Moderate Intellectual Disability/Developmental Disorder,RxHCC,R08,R08X84L1
RXHCC148,Mild or Unspecified Intellectual Disability/Developmental Disorder,RxHCC,R08,R08X84L1
RXHCC15,Chronic Myeloid Leukemia,RxHCC,R08,R08X84L1
RXHCC153,Myasthenia Gravis and Other Myoneural Disorders,RxHCC,R08,R08X84L1
RXHCC154,Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease,RxHCC,R08,R08X84L1
RXHCC155,Spinal Cord Disorders,RxHCC,R08,R08X84L1
RXHCC157,Chronic Inflammatory Demyelinating Polyneuritis,RxHCC,R08,R08X84L1
RXHCC158,Inflammatory and Toxic Neuropathy,RxHCC,R08,R08X84L1
RXHCC159,Multiple Sclerosis,RxHCC,R08,R08X84L1
RXHCC16,Multiple Myeloma and Other Hematologic Cancers,RxHCC,R08,R08X84L1
RXHCC160,Huntington Disease,RxHCC,R08,R08X84L1
RXHCC161,Parkinson Disease,RxHCC,R08,R08X84L1
RXHCC163,Intractable Epilepsy,RxHCC,R08,R08X84L1
RXHCC164,"Epilepsy and Other Seizure Disorders, Except Intractable Epilepsy",RxHCC,R08,R08X84L1
RXHCC166,Migraine Headaches,RxHCC,R08,R08X84L1
RXHCC168,Trigeminal and Postherpetic Neuralgia,RxHCC,R08,R08X84L1
RXHCC17,Secondary Cancer of Bone and Kidney,RxHCC,R08,R08X84L1
RXHCC18,"Secondary Cancer of Lung, Liver, Brain, and Other Sites",RxHCC,R08,R08X84L1
RXHCC183,Pulmonary Arterial Hypertension,RxHCC,R08,R08X84L1
RXHCC184,"Pulmonary Hypertension, Except Arterial, and Other Pulmonary Heart Disease",RxHCC,R08,R08X84L1
RXHCC186,Heart Failure,RxHCC,R08,R08X84L1
RXHCC187,Hypertension,RxHCC,R08,R08X84L1
RXHCC188,Coronary Artery Disease,RxHCC,R08,R08X84L1
RXHCC19,Leukemias and Other Hematologic Cancers,RxHCC,R08,R08X84L1
RXHCC191,Ventricular Septal Defect and Major Congenital Heart Disorders,RxHCC,R08,R08X84L1
RXHCC193,Atrial Arrhythmias,RxHCC,R08,R08X84L1
RXHCC20,"Lung, Kidney, and Other Cancers; Secondary Cancer of Lymph Nodes and Other Sites",RxHCC,R08,R08X84L1
RXHCC207,Spastic Hemiplegia,RxHCC,R08,R08X84L1
RXHCC21,Lymphomas and Other Hematologic Cancers,RxHCC,R08,R08X84L1
RXHCC215,Venous Thromboembolism,RxHCC,R08,R08X84L1
RXHCC22,"Prostate, Breast, Bladder, and Other Cancers and Tumors",RxHCC,R08,R08X84L1
RXHCC225,Cystic Fibrosis,RxHCC,R08,R08X84L1
RXHCC226,Idiopathic Pulmonary Fibrosis and Systemic Sclerosis with Lung Involvement,RxHCC,R08,R08X84L1
RXHCC227,"Pulmonary Fibrosis, Except Idiopathic",RxHCC,R08,R08X84L1
RXHCC228,Severe Persistent Asthma,RxHCC,R08,R08X84L1
RXHCC229,"Chronic Obstructive Pulmonary Disease, Bronchiectasis, and Other Asthma",RxHCC,R08,R08X84L1
RXHCC243,"Glaucoma, Open-Angle or Moderate/Severe Stage",RxHCC,R08,R08X84L1
RXHCC244,Other Non-Acute Glaucoma,RxHCC,R08,R08X84L1
RXHCC260,Kidney Transplant Status,RxHCC,R08,R08X84L1
RXHCC261,"Dialysis Status, Including End Stage Renal Disease",RxHCC,R08,R08X84L1
RXHCC262,Chronic Kidney Disease Stage 5,RxHCC,R08,R08X84L1
RXHCC263,Chronic Kidney Disease Stage 4,RxHCC,R08,R08X84L1
RXHCC30,Diabetes with Complications,RxHCC,R08,R08X84L1
RXHCC31,Diabetes without Complication,RxHCC,R08,R08X84L1
RXHCC311,"Chronic Ulcer of Skin, Except Pressure",RxHCC,R08,R08X84L1
RXHCC314,"Pemphigus, Pemphigoid, and Other Bullous Skin Disorders",RxHCC,R08,R08X84L1
RXHCC316,"Psoriasis, Except with Arthropathy",RxHCC,R08,R08X84L1
RXHCC317,Discoid Lupus Erythematosus,RxHCC,R08,R08X84L1
RXHCC355,Narcolepsy and Cataplexy,RxHCC,R08,R08X84L1
RXHCC395,"Stem Cell, Including Bone Marrow, Transplant Status/Complications",RxHCC,R08,R08X84L1
RXHCC396,"Heart, Lung, Liver, Intestine, or Pancreas Transplant Status",RxHCC,R08,R08X84L1
RXHCC40,Alpha-1-Antitrypsin Deficiency,RxHCC,R08,R08X84L1
RXHCC41,Lysosomal Storage Disorders,RxHCC,R08,R08X84L1
RXHCC42,Acromegaly and Other Endocrine and Metabolic Disorders,RxHCC,R08,R08X84L1
RXHCC43,"Pituitary, Adrenal Gland, and Other Endocrine and Metabolic Disorders",RxHCC,R08,R08X84L1
RXHCC44,Thyroid Disorders,RxHCC,R08,R08X84L1
RXHCC47,Disorders of Lipoid Metabolism,RxHCC,R08,R08X84L1
RXHCC5,Opportunistic Infections,RxHCC,R08,R08X84L1
RXHCC54,Chronic Viral Hepatitis C,RxHCC,R08,R08X84L1
RXHCC55,Acute or Unspecified Viral Hepatitis C,RxHCC,R08,R08X84L1
RXHCC56,Chronic Viral Hepatitis B and Other Specified Chronic Viral Hepatitis,RxHCC,R08,R08X84L1
RXHCC59,Primary Biliary Cirrhosis,RxHCC,R08,R08X84L1
RXHCC65,Chronic Pancreatitis,RxHCC,R08,R08X84L1
RXHCC66,"Pancreatic Disorders and Intestinal Malabsorption, Except Pancreatitis",RxHCC,R08,R08X84L1
RXHCC67,Inflammatory Bowel Disease,RxHCC,R08,R08X84L1
RXHCC80,Aseptic Necrosis of Bone,RxHCC,R08,R08X84L1
RXHCC81,Psoriatic Arthropathy,RxHCC,R08,R08X84L1
RXHCC82,Systemic Sclerosis,RxHCC,R08,R08X84L1
RXHCC83,Rheumatoid Arthritis and Other Inflammatory Polyarthropathy,RxHCC,R08,R08X84L1
RXHCC84,Systemic Lupus Erythematosus and Other Systemic Connective Tissue Disorders,RxHCC,R08,R08X84L1
RXHCC87,"Osteoporosis, Vertebral and Pathological Fractures",RxHCC,R08,R08X84L1
RXHCC95,Sickle Cell Anemia,RxHCC,R08,R08X84L1
RXHCC96,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",RxHCC,R08,R08X84L1
RXHCC98,Hereditary Angioedema and Other Defects in the Complement System,RxHCC,R08,R08X84L1
RXHCC99,Immune Disorders,RxHCC,R08,R08X84L1
